"","Organization","Identification number","...3","Registration date:","Section","Subsection","(Organisation) name","Legal status:","Website address:","Head office country","Head office address","Head office city","Head office post code","Head office post box","Head office phone","Belgium office address","Belgium office city","Belgium office post code","Belgium office post box","Belgium office phone","Person with legal responsibility","Position:...20","Person in charge of EU relations","Position:...22","Goals / remit","Level of interest","EU initiatives","Relevant communication","Inter groups","Industry forums","Commission Expert Groups And Other Similar Entities (European Commission)","Number of persons involved:","Full time equivalent (FTE)","Number of EP accredited persons","Persons accredited for access to European Parliament premises","Fields of interest","Membership","Member organisations","Financial year: Start Date","Financial year: End Date","Estimate of costs (absolute amount)","Estimate of costs (as a range)","Overall budget/Turnover (absolute amount)","Overall budget/Turnover (as a range)","Customers","Procurement:","Source...45","Grants:","Source...47"
"230","Merck","49654992078-52",NA,"28/07/2009","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Merck","KGaA","http://www.merckgroup.com","Germany","Frankfurter Strasse, 250","Darmstadt","64293",NA,"(+49)6151720",NA,NA,NA,NA,NA,"Dr. Stefan Oschmann","Chairman of the Executive Board, CEO of Merck","Maike Becker-Krüger","Head of the Berlin Office, Senior Manager Public Affairs","Merck, a leading science and technology company, generated total revenues of € 15.327 million in 2017 with its divisions Healthcare, Performance Materials and Life Science. More than 52,000 Merck employees work in 66 countries to improve the quality of life for patients, to further the success of customers and to help meet global challenges. Merck is the world’s oldest pharmaceutical and chemical company – since 1668, the company has stood for innovation, business success and responsible entrepreneurship. Holding an approximately 70 percent interest, the founding family remains the majority owner of the company to this day. Merck, Darmstadt, Germany is holding the global rights to the Merck name and brand. The only exceptions are the United States and Canada. Here we operate as EMD Serono in the Biopharma business, MilliporeSigma in the Life Science business, and as EMD Performance Materials in the Performance Materials business.","global","Industrial Policy Strategy, Data Protection Directive, Cross Border Directive, TTIP, Emission Trading System (ETS), Energy Efficiancy, Digitalization Strategy, Global Health Policy",NA,NA,NA,"NA",5,1.75,3,"CAIC#Franjo, POTT#Vanessa, VLACHOPOULOU KLINNERT#Isabel","Business and Industry, Economy, finance and the euro, Humanitarian aid and civil protection, Culture and media, Trade, Competition, Consumers, Culture, International co-operation and development, Customs, Employment and Social Affairs, Energy, Business and Industry, Environment, Single market, Regional Policy, Research and innovation, Public Health, Food Safety, Digital economy and society, Climate Action","Merck is a member of CEFIC (EU), EFPIA (EU), EuropaBio (EU), EBE - European Biopharmaceutical Enterprises (EU), MedTech Europe (EU), VCI (DE), VfA (DE) and the British Chamber of Commerce in Belgium.",NA,"01/01/2017","01/12/2017",1750699,NA,0,NA,NA,NA,NA,NA,NA
"231","Orkla ASA","35774546986-08",NA,"21/10/2011","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Orkla ASA (Orkla)","Private Limited Company","http://www.orkla.com","Norway","Nedre Skøyen vei, 26","Oslo","0213","423 Skoyen","(+47)22544000",NA,NA,NA,NA,NA,"Håkon Mageli","Director Corporate Affairs","Nils Kristian Nersten","Manager Trade Policy & Government Affairs","Orkla is a leading developer, marketer and supplier of strong proprietary brands and concepts. 
 
The Nordic and Baltic region is Orkla's domestic market, besides which the business area has established strong market positions in other European countries and India. At the end of 2016, Orkla employed a workforce equivalent to 18,100 man-years and has approx. 100 production facilities in 18 countries. 
 
The business area bases its strategy and organisation on a multi-local model, where responsibility for value creation and decision-making lies at the local level with the individual companies.","global","EU-trade related issues - EEA,  Brexit 
CAP, TTIP, 
Food legislation",NA,NA,NA,"NA",4,1.75,NA,NA,"Economy, finance and the euro, Agriculture and Rural Development, Trade, Competition, Consumers, Customs, Enlargement, Business and Industry, Taxation, Single market, Maritime affairs and fisheries, External Relations, Public Health, Food Safety","NHO - Federation of Norwegian Food and Drink Industries 
LI - Swedish Food and Drink Federation 
Danish Food and Drink Federation 
ETL - Finnish Food and Drink Industries' Federation 
ETL - Estonian Food and Drink Industries' Federation 
 
ESA - European Snacks Association 
CIUS - European Sugar Users 
Caobisco - Chocolate, Bisquits & Confectionery of Europe",NA,"01/01/2017","01/12/2017",NA,"10000-24999",0,NA,NA,NA,NA,NA,NA
"232","USM Holdings Limited","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Vattenfall AB","12955024114-93",NA,"03/09/2010","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Vattenfall","Aktie Bolag (Listed Stock Corporation)","http://vattenfall.com","Sweden","Evenemangsgatan, 13","Solna - Stockholm","169 56",NA,"(+46)87395000","Vattenfall European Affairs 223 Rue de la Loi","Brussels","1040",NA,"(+32)2 737 73 80","Magnus Hall","Chief Executive Officer","Helga Franse","Head of EU Affairs","Vattenfall is Europe’s fifth largest generator of electricity and largest producer of heat. 
Consolidated sales in 2014 amounted to SEK 165,945 million (EUR 17,667 million). Vattenfall’s main products are electricity, heat and gas. In electricity, Vattenfall works in all parts of the value chain: generation, transmission, distribution and sales.  In heat, Vattenfall is active in production, 
distribution and sales. Vattenfall produces electricty and heat from six energy sources: hydro, nuclear, coal, wind, biomass and gas. Vattenfall is also engaged in production and sales of gas, energy trading, and lignite mining. The Group has approximately 30,000 employees, and the Parent Company, Vattenfall AB, is 100%-owned by the Swedish state. Operations in 2014 were conducted in Sweden, Denmark, Finland, Germany, the Netherlands (main markets) as well as the UK and France.","European, national, regional/local","EU Energy, Climate and Environment Policies and related topics - main files/initiatives: Energy Union, EU ETS, 2030 Climate & Energy Framework, RES policies and legislation, Internal Energy Market policies and legislation, Energy Efficiency policies and legislation, Financial Market regulation, EU Urban agenda, Smart Cities","Vattenfall Expert Round Tables (informal discussion events); organization of other small events related to European energy policies; participation of regulatory and business experts as speakers in external events (ex. EU Sustainable Energy Week); social media activities",NA,NA,"NA",5,3.5,5,"Brun Sundkvist#Yvonne Madelene, Franse#Helga, PANS#Amélie, STIRNBERG#Joana, ZUMPOLLE#DOMINICK","Business and Industry, Economy, finance and the euro, Budget, Competition, Consumers, International co-operation and development, Employment and Social Affairs, Energy, Business and Industry, Environment, Taxation, Single market, Regional Policy, Research and innovation, Trans-European Networks, Transport","Sectoral professional organisations 
 
EURELECTRIC (http://www.eurelectric.org/) 
EFET (http://www.efet.org/) 
IETA (http://www.ieta.org/) 
EDSO for Smart Grids (http://www.edsoforsmartgrids.eu/) 
Euroheat & Power (http://www.euroheat.org/) 
Foratom (http://www.foratom.org/) 
Smart Energy Demand Coalition (http://sedc-coalition.eu/) 
EWEA (http://www.ewea.org/)",NA,"01/01/2016","01/12/2016",NA,"900000-999999",0,NA,NA,NA,NA,NA,NA
"234","Al Dabbagh Group Holding Co Ltd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Bunge Limited","30701218296-12",NA,"09/03/2012","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Bunge Ltd (BEMEA)","Public Limited Company","http://www.bunge.com/","Switzerland","13, route de Florissant, Bunge SA","Geneva","CH-1211","Box 518","(+0041)225929600","221 rue de la Loi","Brussels",NA,NA,"(+32)22350540","Andreas Sommer","Government Affairs Europe","Andreas Sommer","Government Affairs Europe","Bunge EMEA has integrated operations from the farm to the end consumer. We are present in all major grain and oilseed origination areas across the region and our network of assets and capabilities guarantee reliable supply and efficient service to our customers in the destination markets. 
As a leading crusher in the region, we are diversified across soy, sun and rape feedstocks. Our softseed processing activities ensure meal distribution for the food, feed and non-food industry. 
In Europe we are the largest bottled oil producer and marketer and we continue to enter into adjacent downstream categories such as margarine, mayonnaise for retail as well as vegetable professional fats and other vegetable oil based products for food manufacturers and food service professionals. 
We are continuously deepening our focus on nutrition, health and wellness, developing food products that deliver added benefits to consumers.","global","Mainly related to agriculture, trade, food and feed, taxation and sustainability.",NA,"LUFPIG",NA,"NA",5,4.25,5,"CASALA#Edouard, CREANGA#Adina, JASKOT#Agata, PETISCA#Catarina, SOMMER#Andreas","Business and Industry, Economy, finance and the euro, Agriculture and Rural Development, Budget, Trade, Competition, Consumers, Customs, Enlargement, Energy, Business and Industry, Environment, Taxation, Single market, Maritime affairs and fisheries, Research and innovation, External Relations, Public Health, Food Safety, Transport, Climate Action","FEDIOL (The EU Vegetable Oil and Proteinmeal Industry) 
EUFIC (European Food Information Council) 
EBB (European Biodiesel Board) 
ASSUC (European Association of Sugar Traders) 
PFP (Primary Food Processors)",NA,"01/01/2016","01/12/2016",NA,"200000-299999",0,NA,NA,NA,NA,NA,NA
"236","Skanska AB","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Vestas Wind Systems A/S","769186224869-06",NA,"12/12/2016","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Vestas Wind Systems A/S","Vestas Wind Systems A/S","http://www.vestas.com","Denmark","Hedeager 42","Aarhus N","8200",NA,"(+45)97 30 00 00",NA,NA,NA,NA,NA,"Morten  Dyrholm","Group SVP, Global Marketing, Communications and Public Affairs","Lisa Malmquist  Ekstrand","Senior Policy Specialist","Vestas is the only global energy company dedicated exclusively to wind energy - improving business case certainty and reducing the cost of energy for our customers. 
 
Vestas works in close partnership with customers to offer the most effective solutions towards energy independence. Our core business is the development, manufacturing, sale and maintenance of wind power plants – with competencies that cover every aspect of the value chain from site studies to service and maintenance.","European, global, national, regional/local","•    EU RES package, the Renewable Energy Directive and Market Design legislative proposals  
•    Guidelines on State aid for environmental protection and energy 2014-2020 
•    Energy Union  
•    NER300  
•    European Parliament Committee on Industry, Research and Energy  
•    Members of the committee on Industry, Research and Energy","New EU longterm strategy on climate to be released end of October 2018.",NA,NA,"NA",2,1,NA,NA,"Trade, Energy, Business and Industry, Environment, Single market, Climate Action, Borders and Security","WindEurope: www.windeurope.org 
 
SEDC: www.smartenergydemand.eu",NA,"01/01/2017","01/12/2017",NA,"200000-299999",0,NA,NA,NA,NA,NA,NA
"238","DP World","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Ecopetrol SA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Puma Energy Holdings","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","RGE Pte Ltd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","AngloGold Ashanti Ltd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Bajaj Group","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Bharti Enterprises","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Carlsberg A/S","048387711728-21",NA,"19/08/2013","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Carlsberg Breweries A/S (Carlsberg)","Limited Liability Company","http://www.carlsberggroup.com","Denmark","Ny Carlsberg Vej, 100","Copenhagen V","1799",NA,"(+45)33273300",NA,NA,NA,NA,NA,"Cees t'Hart","President & CEO","Anders Bering","Vice President, Group Corporate Affairs","Carlsberg Group's sustainability programme 'Together Towards ZERO' sets industry leading sustainability targets. We will eliminate carbon emisisons at our breweries by 2030 and use only 100% renewable electricity by 2022. Through the Carlsberg Circular Community, we are working with partners in our value chain to reduce beer-in-hand emissions by 30% by 2030. We will cut water usage at our breweries by half by 2030, effectively eliminating water waste during the brewing process. We will offer 100% distribution of alcohol-free brews by 2022 to expand consumer choice. We will also provide responsible drinking messaging as well as nutrition and ingredient information on our packaging and online, while forming partnerships to encourage responsible consumption. 
 
As part of the many responsible consumption initiatives, Carlsberg is also taking an active part in the European Alcohol and Health Forum alongside other responsible brewers.  
 
Our global business strategy embraces Western and Eastern European and Asian markets and revolves around our strong portfolio of brands catering to consumers across our markets; our focus on digital transformation and innovation; our commitment to being a socially responsible organisation; and, last but not least, our ability to retain and recruit highly skilled employees.","global","EU Alcohol Strategy, Consumer Information, Circular Economy, Sustainability, Food and Beverage Regulation (specifically consumer information)","N/A",NA,NA,"European Alcohol and Health Forum#E02224#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=2224#Member#C",1,0.5,NA,NA,"Economy, finance and the euro, Agriculture and Rural Development, Trade, Consumers, Energy, Business and Industry, Environment, Taxation, Single market, Public Health, Food Safety, Climate Action","Carlsberg Breweries A/S is a member of Brewers of Europe, the World Federation of Advertisers and Danish Industry.",NA,"01/01/2017","01/12/2017",NA,"100000-199999",0,NA,NA,NA,NA,NA,NA
"246","Consolidated Contractors Company","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Danfoss A/S","212432414885-94",NA,"07/11/2014","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Danfoss A/S","Danfoss A/S","http://www.danfoss.com","Denmark","Nordborgvej, 81","Nordborg","6430",NA,"(+45)74882222","Rue Jacques de Lalaing 4","Brussels","1040",NA,"(+32)476224441","Alix Chambris","Head of EU Public Affairs","Alix Chambris","Head of EU Public Affairs","Danfoss is a global leader focused on energy-efficient solutions that save energy and costs, and reduce carbon emissions. The company’s wide range of products and services are used in areas such as cooling food, air conditioning, heating buildings, controlling electric motors and powering mobile machinery. The company is also active in the field of solar and wind power as well as district heating and cooling infrastructure for cities and urban communities.","global","-Energy policy: Energy Union and governance, Heating and Cooling Strategy, Energy Efficiency Directive, Energy Performance of Buildings Directive, Ecodesign and Energy Labelling Framework Directives,  
-Environmental legislation: F-gas Regulation, RoHS and WEEE 
-Circular Economy  
-Trade (eg Green goods) 
-Digital economy","-Sponsoring of a study by Ecofys on optimising the energy use of technical building systems, published in March 2017 
-Sponsoring of the Euractiv event: Engineering the Energy Union: How electric motors and water systems help achieving our policy goals in December 2016 with VP Katainen, Marie Donnelly and the IEA 
-Research partnership with BPIE on smart buildings",NA,"Participation in ""Energy Solutions""","NA",7,3,5,"CHAMBRIS#Alix, PANZER#Julia, ROIY#Karen, Tull#Susanne, ZDANEVICIUTE#Monika","Business and Industry, Trade, Customs, Energy, Environment, Research and innovation, Digital economy and society, Climate Action","EU-ASE 
EPEE 
EuroACE 
DI 
Eu.bac 
EHPA 
EUHA 
Euroheat and Power 
Energy solutions 
CEMEP",NA,"01/01/2016","01/12/2016",NA,"400000-499999",0,NA,NA,NA,NA,NA,NA
